Speed Grade,VDD_CORE (V)(1),MAXIMUM OPERATING FREQUENCY (MHz) A53SS (Cortex- A53x),GPU,PRU,Main Infra (CBA),MCUSS (Cortex- M4F),Device/ Power Manager (Cortex- R5F),SMS Subsystem (Dual Cortex- M4F),OCSRAM,MAXIMUM TRANSITION RATE (MT/s)(2) DDR4,LPDDR4
G,0.75/0.85,300,500,250,250,400,400,400,400,1600,1600
K,0.75/0.85,800,500,250,250,400,400,400,400,1600,1600
S,0.75/0.85,1000,500,333,250,400,400,400,400,1600,1600
T,0.75/0.85,1250,500,333,250,400,400,400,400,1600,1600
,0.85,1400,,,,,,,,,
