Orderable Part Number,Status,Material Type,Package | Pins,Package Qty | Carrier,RoHS,Lead Finish / Ball Material,MSL Rating / Peak Reflow,Op Temp (C),Part Marking
AM62P34CSMHIAMHR,Active,Production,FCBGA (AMH) | 466,250 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,34CSMHI
AM62P34CSMSIAMHRQ1,Active,Production,FCBGA (AMH) | 466,250 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,34CSMSI Q1
AM62P52CSMSIAMHRQ1,Active,Production,FCBGA (AMH) | 466,250 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,52CSMSI Q1
AM62P52CVMHIAMHR,Active,Production,FCBGA (AMH) | 466,250 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,52CVMHI
AM62P54CVMHIAMHR,Active,Production,FCBGA (AMH) | 466,250 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,54CVMHI
AM62P54CVMSIAMHRQ1,Active,Production,FCBGA (AMH) | 466,250 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,54CVMSI Q1
