Speed Grade,VDD_CORE (V)(1),MAXIMUM OPERATING FREQUNCY (MHz) A53SS (Cortex- A53x),MAIN DOMAIN SYSCLK,MCU R5F,MCU DOMAIN SYSCLK,DEVICE MANAGER R5F,DEVICE MANAGER DOMAIN CLK,HSM,GPU,VPU,MAXIMUM TRANSITION RATE (MT/s) (2) LPDDR4
O,0.75/0.85,1000,500,800,400,800,400,400,560,500,3200
S,0.75,1250,500,800,400,800,400,400,560,500,3200
,0.85,1400,,,,,,,,,
T,0.75,1250,500,800,400,800,400,400,320,500,3200
,0.85,1400,,,,,,,,,
U,0.75,1250,500,800,400,800,400,400,720,500,3200
,0.85,1400,,,,,,,800,,
V,0.75,1250,500,800,400,800,400,400,720,500,3733
,0.85,1400,,,,,,,800,,
