Speed Grade,MAXIMUM OPERATING FREQUNCY (MHz) A53SS (Cortex-A53x),MAIN_SYSCLK0,PER_SYSCLK0,WKUP_SYSCLK0,MAXIMUM TRANSITION RATE (MT/s)(1) DDR4,LPDDR4
E,833,500,400,400,1600,1600
O,1250,500,400,400,1600,1600
